id,title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
ts78430,Collateral,SHOW,2018,TV-MA,57,"['thriller', 'drama', 'crime']",['GB'],1,tt6729080,6.7,17774,23.364,6.4
ts82228,Cells at Work!,SHOW,2018,TV-14,23,"['comedy', 'animation', 'action', 'fantasy']",['JP'],2,tt8673610,7.5,2270,16.706,8.3
ts58025,My Little Pony: Equestria Girls,SHOW,2017,TV-Y,22,"['animation', 'comedy', 'family', 'fantasy']",['US'],1,tt13160278,6.5,661,11.9,8.1
ts82597,The Dragon Prince,SHOW,2018,TV-Y7,27,"['action', 'scifi', 'animation', 'family', 'fantasy', 'thriller', 'drama']",['US'],3,tt8688814,8.4,22187,31.275,8.3
tm362881,Mirai,MOVIE,2018,PG,94,"['fantasy', 'animation', 'drama', 'family']",['JP'],,tt6900448,7,14983,52.562,7.2
ts87369,Rust Valley Restorers,SHOW,2018,TV-14,50,['documentation'],['CA'],4,tt9498102,7.7,2848,12.127,8.1
tm221953,Bāhubali 2: The Conclusion,MOVIE,2017,,168,"['fantasy', 'drama', 'action']",['IN'],,tt4849438,8.2,94421,38.877,7.3
tm227940,Berlin Syndrome,MOVIE,2017,R,116,"['horror', 'thriller', 'drama']",['AU'],,tt3335606,6.2,25149,15.339,6
tm311815,Icarus,MOVIE,2017,,121,"['documentation', 'thriller', 'sport']",['US'],,tt6333060,7.9,49269,9.623,7.7
ts55645,Five Came Back,SHOW,2017,TV-MA,65,"['war', 'documentation', 'history']",['US'],1,tt6587094,8.3,4671,5.86,7.7
ts81331,She-Ra and the Princesses of Power,SHOW,2018,TV-Y7,24,"['scifi', 'animation', 'comedy', 'fantasy', 'family', 'action', 'drama']",['US'],5,tt7745956,7.8,15584,26.73,8.8
tm362098,The Kindergarten Teacher,MOVIE,2018,R,96,"['drama', 'thriller', 'european']",['US'],,tt6952960,6.7,15974,15.809,6.6
ts80856,Chilling Adventures of Sabrina,SHOW,2018,TV-14,57,"['thriller', 'scifi', 'drama', 'fantasy', 'horror']",['US'],4,tt7569592,7.4,91958,80.61,8.306
tm317542,1922,MOVIE,2017,,101,"['horror', 'drama', 'documentation', 'crime', 'thriller']",['US'],,tt6214928,6.2,62508,17.275,5.9
tm313683,Veronica,MOVIE,2017,R,105,['horror'],['ES'],,tt5862312,6.2,41284,55.175,6.2
tm414220,Little Italy,MOVIE,2018,R,102,"['romance', 'comedy']","['CA', 'US']",,tt6957966,5.7,14829,15.703,6.8
tm299677,Hold the Dark,MOVIE,2018,,126,"['thriller', 'crime', 'horror', 'action', 'drama']",['US'],,tt5057140,5.6,36928,16.591,5.318
tm244325,Mute,MOVIE,2018,R,126,"['scifi', 'thriller', 'drama']","['GB', 'DE']",,tt1464763,5.4,35158,15.734,5.6
tm435916,The Perfection,MOVIE,2018,,90,"['horror', 'thriller', 'drama', 'music']",['US'],,tt7772580,6.1,42403,12.684,6.5
tm433228,Red Joan,MOVIE,2018,R,101,"['thriller', 'history', 'romance', 'drama']",['GB'],,tt7615302,6.4,12452,13.425,6.7
tm244307,Bright,MOVIE,2017,R,117,"['fantasy', 'thriller', 'scifi', 'crime', 'action']",['US'],,tt5519340,6.3,185996,36.593,6.2
ts80705,Evil Genius,SHOW,2018,TV-MA,48,"['documentation', 'crime']",['US'],1,tt8342862,7.5,27987,9.635,7.5
ts78080,Everything Sucks!,SHOW,2018,TV-14,24,"['drama', 'comedy']",['US'],1,tt7078710,7.5,18621,17.251,7.8
tm346943,Kodachrome,MOVIE,2017,,105,"['drama', 'comedy', 'european']",['US'],,tt1880399,6.8,16821,8.641,6.8
tm233362,The Discovery,MOVIE,2017,,102,"['scifi', 'thriller', 'romance', 'drama']",['US'],,tt5155780,6.2,34092,11.237,6.3
ts80035,Nightflyers,SHOW,2018,TV-MA,44,"['scifi', 'thriller', 'drama', 'horror']",['US'],1,tt6903284,5.8,13222,10.291,5.6
ts82560,Dark Tourist,SHOW,2018,TV-MA,41,"['action', 'documentation']",['NZ'],1,tt8725166,7.5,7233,6.668,6.5
tm310706,Extinction,MOVIE,2018,R,96,"['scifi', 'thriller', 'action', 'drama']",['US'],,tt3201640,5.8,52635,28.029,6.009
tm244233,The Book of Henry,MOVIE,2017,PG-13,106,"['drama', 'thriller', 'crime']",['US'],,tt4572792,6.5,27262,17.456,7.5
tm317566,Creep 2,MOVIE,2017,R,80,"['thriller', 'horror', 'crime', 'drama']",['US'],,tt3654796,6.4,25671,14.489,6.322
tm422491,Speed Kills,MOVIE,2018,R,102,"['thriller', 'crime', 'drama', 'action']","['US', 'PR']",,tt6749318,4.2,3244,14.407,5.6
tm449070,Black Mirror: Bandersnatch,MOVIE,2018,R,90,"['drama', 'thriller', 'scifi', 'fantasy']","['GB', 'US']",,tt9495224,7.1,125229,17.397,6.8
tm315340,The Night Comes for Us,MOVIE,2018,R,121,"['action', 'thriller', 'crime']",['ID'],,tt6116856,6.9,25839,12.473,6.8
tm307283,Cargo,MOVIE,2017,,105,"['drama', 'thriller', 'scifi', 'horror']",['AU'],,tt3860916,6.3,43232,18.142,6.4
ts84010,Pine Gap,SHOW,2018,TV-MA,56,"['drama', 'thriller']",['AU'],1,tt7371868,7.1,5007,10.479,7.3
tm366567,When We First Met,MOVIE,2018,PG-13,97,"['fantasy', 'comedy', 'romance']",['US'],,tt5783956,6.4,48885,15.879,6.6
ts55962,Dear White People,SHOW,2017,TV-MA,30,"['comedy', 'drama']",['US'],4,tt5707802,6.1,25232,16.376,6.4
tm300615,Mudbound,MOVIE,2017,R,135,"['drama', 'war']",['US'],,tt2396589,7.4,47676,9.749,7.4
ts56480,Troy: Fall of a City,SHOW,2018,TV-MA,58,"['action', 'war', 'fantasy', 'romance']",['GB'],1,tt5103758,3.9,13815,12.655,6.5
tm243326,Anon,MOVIE,2018,R,100,"['scifi', 'thriller', 'action', 'drama', 'crime', 'european']","['US', 'GB']",,tt5419536,6.1,42608,21.915,5.919
ts57424,The Forest,SHOW,2017,TV-MA,52,"['drama', 'crime', 'thriller', 'european']",['FR'],1,tt6560040,7.2,10234,18.051,7.1
ts56511,Cable Girls,SHOW,2017,TV-MA,46,"['drama', 'history', 'european']",['ES'],5,tt5674718,7.6,13855,44.083,7.9
tm349803,"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",MOVIE,2017,,94,"['documentation', 'comedy']","['CA', 'US']",,tt7214762,7.6,25948,10.704,7.6
tm323634,A-X-L,MOVIE,2018,PG-13,98,"['scifi', 'thriller', 'action', 'drama', 'family']",['US'],,tt5709188,5.3,11920,32.431,6.3
tm316414,Hell Fest,MOVIE,2018,R,88,"['horror', 'thriller']",['US'],,tt1999890,5.5,16976,15.417,5.6
ts80523,Aggretsuko,SHOW,2018,TV-14,17,"['animation', 'comedy', 'romance', 'drama', 'music']",['JP'],4,tt8019444,8,6195,13.244,7.2
tm434202,Malevolent,MOVIE,2018,,89,"['horror', 'thriller']",['GB'],,tt2386237,4.8,13772,8.289,5
ts75772,Jack Whitehall: Travels with My Father,SHOW,2017,TV-MA,48,"['reality', 'documentation', 'comedy', 'european']",['GB'],5,tt7453996,7.6,5482,5.014,7.4
ts121489,Two Sentence Horror Stories,SHOW,2017,TV-14,22,"['drama', 'horror', 'thriller']",['US'],4,tt6873926,5.5,1900,8.441,5.6
ts77957,Dirty Money,SHOW,2018,TV-14,63,"['documentation', 'crime']",['US'],2,tt7889220,8.1,9159,11.301,7.3
ts78452,Requiem,SHOW,2018,TV-MA,58,"['drama', 'animation', 'fantasy', 'thriller']",['GB'],1,tt6712390,6.4,6553,11.958,6.6
ts78356,The Rain,SHOW,2018,TV-MA,43,"['scifi', 'thriller', 'drama']",['DK'],3,tt6656238,7.3,616,98.788,7.415
ts86296,Sunderland 'Til I Die,SHOW,2018,TV-MA,41,"['documentation', 'sport']",['GB'],2,tt8914684,8.1,8113,5.099,8
tm410742,Happy as Lazzaro,MOVIE,2018,PG-13,125,"['fantasy', 'drama', 'european']","['IT', 'CH', 'FR']",,tt6752992,7.5,18006,8.295,7.4
ts79422,Nailed It!,SHOW,2018,TV-PG,33,"['reality', 'comedy']",['US'],6,tt6987788,7.4,4742,8.521,7.6
ts78298,My Mister,SHOW,2018,TV-14,70,"['drama', 'family']",['KR'],1,tt7923710,9.1,6043,13.025,8.9
ts88783,Bakugan: Battle Planet,SHOW,2018,TV-Y7,20,"['animation', 'action', 'comedy', 'family', 'fantasy', 'scifi']",['JP'],4,tt9527662,4.9,225,14.694,6.8
tm244229,Everybody Knows,MOVIE,2018,R,132,"['drama', 'thriller', 'crime', 'european']","['IT', 'ES', 'FR']",,tt4964788,6.9,34365,11.374,6.5
ts56038,Dave Chappelle,SHOW,2017,,66,"['comedy', 'documentation']",['US'],1,tt6963504,8.7,2798,4.516,7.6
ts57439,Damnation,SHOW,2017,TV-MA,43,"['western', 'crime', 'drama']",['US'],1,tt6106704,7.6,8313,9.193,7
ts53936,Innocent,SHOW,2017,TV-14,51,"['drama', 'thriller', 'crime']",['TR'],1,tt6478318,8.4,17727,7.297,8.1
ts56481,Great News,SHOW,2017,TV-PG,21,['comedy'],['US'],2,tt4955480,7,6810,8.665,6.5
